property_id,property_name,property_type,location,price,bedrooms,bathrooms,area_sqft,parking,furnishing,floor,total_floors,property_age,possession,amenities,description,availability,broker_name,broker_phone
P001,Green Valley Residency,Apartment,Kakkanad,7500000,3,3,1650,Yes,Semi-Furnished,8,15,3,Ready,Gym|Parking|Security|Pool,Modern 3BHK apartment near Infopark,Available,Rajan Menon,9847100000
P002,Sunrise Heights,Apartment,Kakkanad,6800000,2,2,1200,Yes,Unfurnished,4,12,1,Ready,Parking|Security|Lift,Spacious 2BHK in Kakkanad tech hub,Available,Suresh Pillai,9847100001
P003,Palm Gardens Villa,Villa,Edappally,12000000,4,4,2800,Yes,Fully Furnished,1,2,5,Ready,Pool|Garden|Security|Parking,Luxury 4BHK villa with private pool,Available,Priya Nair,9847100002
P004,City Heights,Apartment,Ernakulam,4500000,2,2,1050,No,Unfurnished,3,8,7,Ready,Security|Lift,Affordable 2BHK in city center,Available,Anil Kumar,9847100003
P005,Harmony Towers,Apartment,Thrissur,5500000,3,2,1400,Yes,Semi-Furnished,5,10,2,Ready,Gym|Parking|Security,3BHK with modern amenities,Available,Meera Varma,9847100004
P006,The Pearl Penthouse,Penthouse,Kochi,25000000,5,5,4200,Yes,Fully Furnished,20,20,1,Ready,Pool|Gym|Parking|Security|Clubhouse,Premium penthouse with sea view,Available,Deepak Raj,9847100005
P007,Budget Homes,Apartment,Aluva,3000000,1,1,650,No,Unfurnished,2,5,10,Ready,Security,Affordable 1BHK starter home,Available,Sona Thomas,9847100006
P008,Lakeview Residency,Apartment,Vyttila,6200000,2,2,1150,Yes,Semi-Furnished,6,14,2,Ready,Parking|Security|Lift|Power Backup,2BHK near Vyttila mobility hub,Available,Vinod Krishnan,9847100007
P009,Elite Homes,Apartment,Palarivattom,7200000,3,2,1550,Yes,Semi-Furnished,7,12,4,Ready,Gym|Parking|Security|Lift,3BHK in premium Palarivattom area,Available,Anitha Babu,9847100008
P010,Garden Enclave,Villa,Thrissur,9500000,3,3,2200,Yes,Semi-Furnished,1,2,3,Ready,Garden|Parking|Security,3BHK independent villa with garden,Available,Rahul George,9847100009
P011,Infopark View,Apartment,Kakkanad,8200000,3,3,1750,Yes,Fully Furnished,10,16,2,Ready,Gym|Pool|Parking|Security|Clubhouse,Luxury 3BHK with Infopark view,Available,Rajan Menon,9847100010
P012,Hill Top Villas,Villa,Kottayam,11000000,4,3,2600,Yes,Semi-Furnished,1,2,4,Ready,Garden|Parking|Security|Pool,Scenic 4BHK villa in Kottayam,Available,Suresh Pillai,9847100011
P013,Riverside Apartments,Apartment,Ernakulam,5200000,2,2,1100,Yes,Unfurnished,5,10,6,Ready,Parking|Security|Lift,2BHK with river view,Available,Priya Nair,9847100012
P014,Studio Nest,Studio,Edappally,2800000,1,1,500,No,Fully Furnished,3,12,1,Ready,Security|Lift|Power Backup,Cozy furnished studio apartment,Available,Anil Kumar,9847100013
P015,Maple Residency,Apartment,Thrissur,6500000,3,2,1450,Yes,Unfurnished,4,9,3,Ready,Parking|Security|Gym,Spacious 3BHK in prime Thrissur,Available,Meera Varma,9847100014
P016,Coastal Villas,Villa,Kochi,18000000,5,4,3800,Yes,Fully Furnished,1,3,2,Ready,Pool|Garden|Security|Parking,5BHK beach-facing luxury villa,Available,Deepak Raj,9847100015
P017,Tech Park Homes,Apartment,Kakkanad,7600000,3,2,1580,Yes,Semi-Furnished,9,14,1,Ready,Gym|Parking|Security|Lift|Pool,3BHK walking distance to Infopark,Available,Sona Thomas,9847100016
P018,Silver Heights,Apartment,Kalamassery,5800000,2,2,1200,Yes,Semi-Furnished,6,12,3,Ready,Parking|Security|Lift,Modern 2BHK in Kalamassery,Available,Vinod Krishnan,9847100017
P019,Grand Residency,Apartment,Ernakulam,9000000,4,3,2000,Yes,Fully Furnished,12,18,1,Ready,Pool|Gym|Parking|Security|Clubhouse,Premium 4BHK in Ernakulam,Available,Anitha Babu,9847100018
P020,Tranquil Homes,Apartment,Angamaly,4200000,2,2,1000,Yes,Unfurnished,3,8,5,Ready,Parking|Security,Peaceful 2BHK in Angamaly,Available,Rahul George,9847100019
P021,Prestige Towers,Apartment,Palarivattom,8800000,3,3,1800,Yes,Fully Furnished,14,18,2,Ready,Gym|Pool|Parking|Security|Clubhouse,Upscale 3BHK in Palarivattom,Available,Rajan Menon,9847100020
P022,Emerald Gardens,Villa,Thrissur,13500000,4,4,3000,Yes,Semi-Furnished,1,2,2,Ready,Garden|Pool|Parking|Security,Elegant 4BHK villa with garden,Available,Suresh Pillai,9847100021
P023,Skyline Apartments,Apartment,Kochi,10500000,3,3,1900,Yes,Fully Furnished,16,20,1,Ready,Pool|Gym|Parking|Security,High-rise 3BHK with city skyline view,Available,Priya Nair,9847100022
P024,Budget Plus,Apartment,Perumbavoor,2500000,1,1,600,No,Unfurnished,2,6,8,Ready,Security,Economical 1BHK in Perumbavoor,Available,Anil Kumar,9847100023
P025,Riviera Row Houses,Row House,Edappally,8500000,3,3,1900,Yes,Unfurnished,1,1,3,Ready,Parking|Security|Garden,Stylish 3BHK row house,Available,Meera Varma,9847100024
P026,Vyttila Metro Homes,Apartment,Vyttila,7000000,3,2,1500,Yes,Semi-Furnished,8,15,2,Ready,Parking|Security|Lift|Gym,3BHK near Vyttila metro station,Available,Deepak Raj,9847100025
P027,Kaloor Heights,Apartment,Ernakulam,8000000,3,3,1700,Yes,Semi-Furnished,11,15,4,Ready,Gym|Parking|Security|Lift,Premium 3BHK in Kaloor area,Available,Sona Thomas,9847100026
P028,Tranquility Villas,Villa,Kottayam,9800000,3,3,2400,Yes,Fully Furnished,1,2,5,Ready,Garden|Parking|Pool|Security,3BHK villa with scenic backwater views,Available,Vinod Krishnan,9847100027
P029,Nest Apartments,Apartment,Aluva,3800000,2,1,900,No,Unfurnished,2,6,6,Ready,Security|Lift,Cozy 2BHK in Aluva,Available,Anitha Babu,9847100028
P030,Metro Suites,Studio,Kochi,3500000,1,1,550,Yes,Fully Furnished,5,20,1,Ready,Pool|Gym|Parking|Security,Luxury studio in heart of Kochi,Available,Rahul George,9847100029
P031,Kakkanad Greens,Apartment,Kakkanad,6200000,2,2,1250,Yes,Semi-Furnished,5,11,3,Ready,Gym|Parking|Security|Lift,2BHK apartment in IT corridor,Available,Rajan Menon,9847100030
P032,Maradu Residency,Apartment,Maradu,7100000,3,2,1520,Yes,Semi-Furnished,7,12,2,Ready,Parking|Security|Gym|Lift,3BHK in serene Maradu,Available,Suresh Pillai,9847100031
P033,Golden Palms,Villa,Palakkad,7500000,3,3,2100,Yes,Unfurnished,1,2,4,Ready,Garden|Parking|Security,Spacious 3BHK villa in Palakkad,Available,Priya Nair,9847100032
P034,Trivandrum Towers,Apartment,Trivandrum,6000000,3,2,1400,Yes,Semi-Furnished,6,12,3,Ready,Gym|Parking|Security|Lift,Modern 3BHK in Trivandrum,Available,Anil Kumar,9847100033
P035,Calicut Comfort,Apartment,Calicut,5000000,2,2,1100,Yes,Unfurnished,4,9,5,Ready,Parking|Security|Lift,Comfortable 2BHK in Calicut,Available,Meera Varma,9847100034
P036,Thripunithura Heights,Apartment,Thripunithura,5500000,2,2,1200,Yes,Semi-Furnished,6,10,3,Ready,Parking|Security|Gym,2BHK in heritage Thripunithura,Available,Deepak Raj,9847100035
P037,Luxury Lane,Villa,Kochi,22000000,5,5,4000,Yes,Fully Furnished,1,3,2,Ready,Pool|Garden|Gym|Security|Parking,Ultra-luxury 5BHK villa,Available,Sona Thomas,9847100036
P038,Palarivattom Prime,Apartment,Palarivattom,6800000,2,2,1300,Yes,Semi-Furnished,8,14,1,Ready,Gym|Parking|Security|Lift,2BHK in prime Palarivattom location,Available,Vinod Krishnan,9847100037
P039,Kochi Row Villa,Row House,Kochi,9200000,3,3,2000,Yes,Semi-Furnished,1,1,3,Ready,Parking|Security|Garden,3BHK row house in Kochi,Available,Anitha Babu,9847100038
P040,Angamaly Classic,Apartment,Angamaly,3500000,1,1,700,No,Unfurnished,1,6,7,Ready,Security,Starter 1BHK in Angamaly,Available,Rahul George,9847100039
P041,Edappally Nest,Apartment,Edappally,6900000,3,2,1480,Yes,Semi-Furnished,7,12,2,Ready,Parking|Security|Gym|Lift,3BHK near Edappally junction,Available,Rajan Menon,9847100040
P042,Vaikom Villas,Villa,Vaikom,8200000,3,3,2300,Yes,Unfurnished,1,2,6,Ready,Garden|Parking|Security,3BHK villa with lakeside setting,Available,Suresh Pillai,9847100041
P043,Kalamassery Compact,Apartment,Kalamassery,4800000,2,1,980,Yes,Unfurnished,3,8,5,Ready,Parking|Security,Compact 2BHK in industrial hub,Available,Priya Nair,9847100042
P044,Smart Homes Kochi,Apartment,Kochi,11500000,4,3,2200,Yes,Fully Furnished,15,20,1,Ready,Pool|Gym|Parking|Security|Clubhouse,Smart 4BHK premium apartment,Available,Anil Kumar,9847100043
P045,Thrissur Nest,Apartment,Thrissur,4500000,2,2,1000,No,Unfurnished,2,7,6,Ready,Security|Lift,Affordable 2BHK in Thrissur,Available,Meera Varma,9847100044
P046,Perumbavoor Heights,Apartment,Perumbavoor,3200000,2,1,800,No,Unfurnished,2,5,4,Ready,Security,Budget 2BHK in Perumbavoor,Available,Deepak Raj,9847100045
P047,Tripunithura Towers,Apartment,Thrippunithura,6600000,3,2,1450,Yes,Semi-Furnished,7,12,3,Ready,Parking|Security|Gym,3BHK in Royal Tripunithura,Available,Sona Thomas,9847100046
P048,Kottayam Classic,Independent House,Kottayam,7000000,3,2,1800,Yes,Unfurnished,1,2,8,Ready,Garden|Parking|Security,Traditional 3BHK independent house,Available,Vinod Krishnan,9847100047
P049,Kakkanad Studio,Studio,Kakkanad,2200000,1,1,450,No,Fully Furnished,4,10,1,Ready,Security|Lift,Modern studio near tech parks,Available,Anitha Babu,9847100048
P050,Calicut Premium,Apartment,Calicut,7200000,3,3,1600,Yes,Semi-Furnished,8,14,2,Ready,Gym|Parking|Security|Lift,Premium 3BHK in Calicut,Available,Rahul George,9847100049
P051,Trivandrum Villa,Villa,Trivandrum,10500000,4,3,2500,Yes,Semi-Furnished,1,2,3,Ready,Garden|Pool|Parking|Security,Spacious 4BHK villa in Trivandrum,Available,Rajan Menon,9847100050
P052,Technopark Nest,Apartment,Trivandrum,5200000,2,2,1100,Yes,Semi-Furnished,5,10,2,Ready,Parking|Security|Lift,2BHK near Technopark,Available,Suresh Pillai,9847100051
P053,Maradu Luxury,Apartment,Maradu,9500000,4,3,2100,Yes,Fully Furnished,13,18,1,Ready,Pool|Gym|Parking|Security|Clubhouse,Luxury 4BHK in Maradu,Available,Priya Nair,9847100052
P054,Palakkad Comfort,Independent House,Palakkad,5500000,2,2,1500,Yes,Unfurnished,1,2,10,Ready,Garden|Parking,Traditional 2BHK house in Palakkad,Available,Anil Kumar,9847100053
P055,Calicut Row House,Row House,Calicut,8000000,3,3,1950,Yes,Semi-Furnished,1,1,4,Ready,Parking|Security|Garden,3BHK row house in Calicut,Available,Meera Varma,9847100054
P056,Pathanamthitta Home,Independent House,Pathanamthitta,4800000,3,2,1600,Yes,Unfurnished,1,2,7,Ready,Garden|Parking,3BHK house in peaceful Pathanamthitta,Available,Deepak Raj,9847100055
P057,Aluva Eco Homes,Apartment,Aluva,4500000,2,2,1050,Yes,Unfurnished,4,8,4,Ready,Parking|Security|Lift|Garden,Eco-friendly 2BHK in Aluva,Available,Sona Thomas,9847100056
P058,Shoranur Villa,Villa,Shoranur,6500000,3,3,2000,Yes,Unfurnished,1,2,5,Ready,Garden|Parking|Security,3BHK villa in quiet Shoranur,Available,Vinod Krishnan,9847100057
P059,Pala Residency,Apartment,Pala,3800000,2,1,900,No,Unfurnished,2,5,6,Ready,Security,2BHK apartment in Pala,Available,Anitha Babu,9847100058
P060,Ottapalam Heights,Apartment,Ottapalam,3500000,2,1,850,No,Unfurnished,2,5,5,Ready,Parking|Security,Budget 2BHK in Ottapalam,Available,Rahul George,9847100059
P061,Kochi Business Bay,Apartment,Kochi,14500000,4,4,2800,Yes,Fully Furnished,18,22,1,Ready,Pool|Gym|Parking|Security|Spa,Elite 4BHK in marine drive vicinity,Available,Rajan Menon,9847100060
P062,Changanacherry Nest,Independent House,Changanacherry,5200000,3,2,1700,Yes,Unfurnished,1,2,8,Ready,Garden|Parking,Comfortable 3BHK in Changanacherry,Available,Suresh Pillai,9847100061
P063,Kakkanad Prime View,Apartment,Kakkanad,8900000,3,3,1800,Yes,Fully Furnished,11,16,1,Ready,Gym|Pool|Parking|Security|Clubhouse,Premium 3BHK with panoramic view,Available,Priya Nair,9847100062
P064,Edappally Elite,Apartment,Edappally,8000000,3,3,1720,Yes,Fully Furnished,10,15,2,Ready,Pool|Gym|Parking|Security,Elite 3BHK in Edappally,Available,Anil Kumar,9847100063
P065,Perumbavoor Villa,Villa,Perumbavoor,6000000,3,2,1900,Yes,Unfurnished,1,2,6,Ready,Garden|Parking|Security,3BHK villa in Perumbavoor,Available,Meera Varma,9847100064
P066,Thrissur Grand,Apartment,Thrissur,7500000,3,3,1650,Yes,Semi-Furnished,9,14,2,Ready,Gym|Parking|Security|Lift,Grand 3BHK in Thrissur city,Available,Deepak Raj,9847100065
P067,Trivandrum Classic,Apartment,Trivandrum,4800000,2,2,1100,Yes,Semi-Furnished,5,10,4,Ready,Parking|Security|Lift,Classic 2BHK in Trivandrum,Available,Sona Thomas,9847100066
P068,Vyttila Compact,Apartment,Vyttila,5500000,2,2,1100,Yes,Unfurnished,4,11,3,Ready,Parking|Security|Lift,2BHK near metro junction,Available,Vinod Krishnan,9847100067
P069,Kozhikode Heights,Apartment,Kozhikode,6200000,3,2,1400,Yes,Semi-Furnished,7,12,2,Ready,Parking|Security|Gym|Lift,3BHK in Kozhikode city,Available,Anitha Babu,9847100068
P070,Kochi Penthouse Suite,Penthouse,Kochi,20000000,4,4,3500,Yes,Fully Furnished,22,22,1,Ready,Pool|Gym|Parking|Security|Concierge,Penthouse with 360 degree view,Available,Rahul George,9847100069
P071,Angamaly Heights,Apartment,Angamaly,5000000,2,2,1100,Yes,Semi-Furnished,5,9,3,Ready,Parking|Security|Gym,2BHK in growing Angamaly,Available,Rajan Menon,9847100070
P072,Kalamassery Premium,Apartment,Kalamassery,6500000,3,2,1450,Yes,Semi-Furnished,7,12,2,Ready,Gym|Parking|Security|Lift,3BHK in CSEZ vicinity,Available,Suresh Pillai,9847100071
P073,Maradu Garden View,Apartment,Maradu,6000000,2,2,1250,Yes,Semi-Furnished,6,10,3,Ready,Garden|Parking|Security|Lift,2BHK with garden view in Maradu,Available,Priya Nair,9847100072
P074,Thrissur Budget Flat,Apartment,Thrissur,3200000,1,1,650,No,Unfurnished,2,6,9,Ready,Security,Starter flat in Thrissur,Available,Anil Kumar,9847100073
P075,Ernakulam Premium,Apartment,Ernakulam,10000000,4,3,2100,Yes,Fully Furnished,14,18,2,Ready,Pool|Gym|Parking|Security,Premium 4BHK near Broadway,Available,Meera Varma,9847100074
P076,Palarivattom Studio,Studio,Palarivattom,2600000,1,1,480,No,Fully Furnished,3,10,2,Ready,Security|Lift,Fully furnished studio in Palarivattom,Available,Deepak Raj,9847100075
P077,Kottayam Riverside,Villa,Kottayam,12500000,4,4,2900,Yes,Fully Furnished,1,2,3,Ready,Pool|Garden|Parking|Security,4BHK villa with river view,Available,Sona Thomas,9847100076
P078,Shoranur Comfort,Apartment,Shoranur,3500000,2,1,850,No,Unfurnished,2,5,6,Ready,Parking|Security,Comfortable 2BHK in Shoranur,Available,Vinod Krishnan,9847100077
P079,Kakkanad Luxury Tower,Apartment,Kakkanad,11000000,4,3,2200,Yes,Fully Furnished,15,18,1,Ready,Pool|Gym|Parking|Security|Clubhouse,Luxury 4BHK in Kakkanad,Available,Anitha Babu,9847100078
P080,Edappally Row House,Row House,Edappally,9800000,4,3,2200,Yes,Semi-Furnished,1,1,2,Ready,Garden|Parking|Security,4BHK row house in Edappally,Available,Rahul George,9847100079
P081,Calicut Comfort Plus,Apartment,Calicut,4500000,2,1,1000,Yes,Unfurnished,4,8,4,Ready,Parking|Security,2BHK in calm Calicut neighborhood,Available,Rajan Menon,9847100080
P082,Chalakudy Home,Independent House,Chalakudy,4200000,3,2,1600,Yes,Unfurnished,1,2,9,Ready,Garden|Parking,Homely 3BHK in Chalakudy,Available,Suresh Pillai,9847100081
P083,Irinjalakuda Flat,Apartment,Irinjalakuda,3600000,2,1,850,No,Unfurnished,2,5,7,Ready,Security,2BHK budget flat in Irinjalakuda,Available,Priya Nair,9847100082
P084,Aluva Prime Towers,Apartment,Aluva,5500000,3,2,1350,Yes,Semi-Furnished,6,10,3,Ready,Gym|Parking|Security|Lift,3BHK near Aluva metro,Available,Anil Kumar,9847100083
